ds,yhat,yhat_lower,yhat_upper
2020-04-02,3137.140913624998,2782.852508205111,3522.1677801186415
2020-04-03,3117.305488836207,2750.9754375442158,3494.0953172168984
2020-04-04,3056.457899154464,2675.583170017491,3446.191889232091
2020-04-05,3026.9799192611536,2659.5477616151807,3418.0463600986395
2020-04-06,3002.1455643320596,2649.3328991027192,3412.4931868342273
2020-04-07,2972.85971127176,2587.02043708441,3349.453345807049
2020-04-08,2941.046903019411,2564.002962777842,3330.7555264791577
2020-04-09,2865.3317361249888,2484.7576184114864,3256.255601448915
2020-04-10,2845.4963113362287,2492.726778068342,3244.820656167892
2020-04-11,2784.6487216544147,2390.3487304217747,3156.4675768645766
2020-04-12,2755.1707418990213,2388.8120705552574,3149.999955704993
2020-04-13,2730.3363871077763,2345.6498230545144,3108.0339911454957
2020-04-14,2701.050534185392,2316.957159226101,3039.9203142801193
2020-04-15,2669.237726070933,2308.3242159337956,3056.6820784126894
2020-04-16,2593.5225593144255,2233.367402109528,2944.5127769729975
2020-04-17,2573.687134663483,2198.831068063333,2949.2232706724585
2020-04-18,2512.839545119652,2136.591707507438,2864.761803681014
2020-04-19,2483.3615653642564,2115.904027762067,2868.9080320373105
2020-04-20,2458.5272105729823,2082.847139504511,2864.2719397526434
2020-04-21,2429.241348218643,2073.9275925360585,2788.542814346116
2020-04-22,2397.428530672283,2006.5087971094658,2773.072447768038
2020-04-23,2321.713354483927,1928.8278267489702,2697.611669191118
2020-04-24,2301.8779204011275,1898.0229584868096,2685.499154257309
2020-04-25,2241.030321425339,1878.011313351595,2597.863334740503
2020-04-26,2211.552332238093,1837.555244480024,2598.053171309291
2020-04-27,2186.717968014888,1792.4332972340271,2589.6082732708524
2020-04-28,2157.432105660594,1764.7105761999865,2536.029440093861
2020-04-29,2125.6192881142865,1725.712274222851,2499.72882664103
2020-04-30,2049.9041119258904,1699.598505474864,2414.304878150755
2020-05-01,2030.0686778254876,1638.0682553772704,2430.024330032655
2020-05-02,1969.221078832195,1579.8293903071065,2353.667493979769
